WireID,From,FromPin,To,ToPin,Diameter,Gauge,Insulation,BendRadius,Color
W01,BATT,+,ESC,B+,2.4,18,,12,red
W02,BATT,-,ESC,B-,2.4,18,,12,black
W03,MOTOR1,A,ESC,M1A,1.0,28,,4,black
W04,MOTOR1,B,ESC,M1B,1.0,28,,4,black
W05,MOTOR1,C,ESC,M1C,1.0,28,,4,black
W06,MOTOR2,A,ESC,M2A,1.0,28,,4,black
W07,MOTOR2,B,ESC,M2B,1.0,28,,4,black
W08,MOTOR2,C,ESC,M2C,1.0,28,,4,black
W09,MOTOR3,A,ESC,M3A,1.0,28,,4,black
W10,MOTOR3,B,ESC,M3B,1.0,28,,4,black
W11,MOTOR3,C,ESC,M3C,1.0,28,,4,black
W12,MOTOR4,A,ESC,M4A,1.0,28,,4,black
W13,MOTOR4,B,ESC,M4B,1.0,28,,4,black
W14,MOTOR4,C,ESC,M4C,1.0,28,,4,black
W15,ESC,VBAT,FC,VBAT,1.0,28,,4,red
W16,ESC,GND,FC,GND,1.0,28,,4,black
W17,ESC,CUR,FC,CUR,1.0,28,,4,orange
W18,ESC,TLM,FC,TLM,1.0,28,,4,yellow
W19,FC,S1,ESC,S1,1.0,28,,4,white
W20,FC,S2,ESC,S2,1.0,28,,4,grey
W21,FC,S3,ESC,S3,1.0,28,,4,blue
W22,FC,S4,ESC,S4,1.0,28,,4,green
W23,FC,5V,NICLA,VIN,1.3,26,,5,red
W24,FC,GND,NICLA,GND,1.3,26,,5,black
W25,FC,T2,NICLA,RX,1.0,28,,4,green
W26,NICLA,TX,FC,R2,1.0,28,,4,white
W27,FC,5V,MTF01,5V,1.0,28,,4,red
W28,FC,GND,MTF01,GND,1.0,28,,4,black
W29,FC,T4,MTF01,RX,1.0,28,,4,green
W30,MTF01,TX,FC,R4,1.0,28,,4,white
W31,FC,5V,ELRS,5V,1.0,28,,4,red
W32,FC,GND,ELRS,GND,1.0,28,,4,black
W33,FC,T6,ELRS,RX,1.0,28,,4,green
W34,ELRS,TX,FC,R6,1.0,28,,4,white
W35,FC,5V,LED,5V,1.0,28,,4,red
W36,FC,LED,LED,DIN,1.0,28,,4,green
W37,FC,GND,LED,GND,1.0,28,,4,black
W38,FC,5V,VIFLY,BZ+,1.0,28,,4,red
W39,FC,BZ-,VIFLY,BZ-,1.0,28,,4,black
