id,failure_mode,effect,severity_1_5,likelihood_1_5,detection_method,mitigation,owner,residual_risk,status
FMEA-001,Premature release,Uncontrolled powered drop,5,2,Safety-pin inspection and release-state log,Mechanical safety pin plus software inhibit,Test director,Medium,PENDING
FMEA-002,Release fails then releases unexpectedly,Personnel exposure,5,2,Release-state indication,Disarm before approach and verify zero RPM,Emergency-stop operator,Low,PENDING
FMEA-003,Partial release or snag,Asymmetric tumble or rig contact,4,3,High-speed video and fixture inspection,Breakaway interface and containment,Fixture owner,Medium,PENDING
FMEA-004,False recovery activation,Unexpected motor spin,5,2,Props-off trials and state logs,Cage-mode interlock manual override and classifier gate,Controls owner,Low,PENDING
FMEA-005,Vehicle misses recovery,Floor or cage impact,3,4,External trajectory measurement,Padded floor and replaceable guards,Test director,Medium,PENDING
FMEA-006,Battery ejects or is damaged,Fire or electrical risk,5,2,Positive-retention inspection and post-impact check,Retention test quarantine and fire-response procedure,Mechanical owner,Medium,PENDING
FMEA-007,Communications loss,Uncontrolled behavior,5,2,Link-health log,Flight-controller hold land or disarm response,Controls owner,Low,PENDING
FMEA-008,Thermal exceedance,Motor ESC or battery failure,4,3,Temperature monitoring,Automatic test termination and cooldown limits,Power owner,Low,PENDING
FMEA-009,Emergency-stop failure,Continued motor operation,5,2,Pre-test functional check,Independent secondary disarm method,Emergency-stop operator,Medium,PENDING
FMEA-010,Gyro saturation or estimator divergence,Incorrect recovery command,5,3,Rate-limit and estimator-health logs,Reject recovery outside verified estimator envelope,Controls owner,Medium,PENDING
