component,claim,required_value,observed_value,units,evidence_state,source_type,source_url,checked_date,decision,follow_up
Holybro Kakute H7 Mini v1.5,ArduPilot support,Official supported target,KakuteH7Mini on ArduPilot 4.6.0 or later,,CONFIRMED,manufacturer documentation,https://docs.holybro.com/autopilot/kakute-h7-v1-v2-mini/kakute-h7-mini/supported-firmware,2026-06-21,PASS,Install current stable ArduPilot 4.6 or later
Holybro Kakute H7 Mini v1.5,UART capacity,At least 5 full-duplex UARTs plus optional ESC telemetry,"UART1/2/3/4/6 full duplex; UART7 receive-only",count,CONFIRMED,official pinout and ArduPilot mapping,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,2026-06-21,PASS,Confirm delivered board is v1.5 before soldering
Holybro Kakute H7 Mini v1.5,Motor timer groups,Four DShot outputs without mixed-rate collision,"M1/M4 group 1; M2/M3 group 2",,CONFIRMED,ArduPilot board documentation,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,2026-06-21,PASS,Configure all four motors to the same DShot rate
Holybro Kakute H7 Mini v1.5,Physical mounting,20x20 stack compatible,"20x20 mm; 3.6 mm holes with M3 and M2 grommets",mm,CONFIRMED,manufacturer documentation,https://docs.holybro.com/autopilot/kakute-h7-v1-v2-mini/kakute-h7-mini/overview,2026-06-21,PASS,Order matching M2 grommets/standoffs and verify delivered fit
Holybro Kakute H7 Mini v1.5,Peripheral rail,At least 25 percent margin,"2 A BEC specified; design uses conservative 1.5 A capacity",A,INFERRED,manufacturer overview and pinout,https://docs.holybro.com/autopilot/kakute-h7-v1-v2-mini/kakute-h7-mini/pinout,2026-06-21,PASS,Measure rail voltage during peak Nicla load
HGLRC XJB BS13A,Electrical rating,Measured current within registered gate,"13 A continuous; 20 A peak for 10 s; 2-3S",A,INFERRED,legacy specification reproduced by retailer,https://wda-jp.com/shop/products/detail/187,2026-06-21,PASS_WITH_CAVEAT,Verify standalone stock and bench current/temperature
HGLRC XJB BS13A,Mechanical mounting,20x20 stack compatible,"20x20 mm M2; 3 g",,INFERRED,legacy specification reproduced by retailer,https://wda-jp.com/shop/products/detail/187,2026-06-21,PASS_WITH_CAVEAT,Confirm connector pin order against Kakute before applying power
Happymodel EX1103 11000KV,Static thrust at 7.0 V,At least 112.5 gf for full reserve,"121.9 gf claimed at 7.4 V with 2023R",gf,BENCH_REQUIRED,vendor-derived listing,https://rcdrone.top/ko/products/happymodel-ex1103-brushless-motor,2026-06-21,OPEN,Measure uncertainty-adjusted thrust at 8.4/7.6/7.0 V
Happymodel EX1103 11000KV,Peak current,At most 10.4 A unconditional,"9.2 A claimed at 7.4 V with 2023R",A,BENCH_REQUIRED,vendor-derived listing,https://rcdrone.top/ko/products/happymodel-ex1103-brushless-motor,2026-06-21,OPEN,Measure current and winding temperature
Gemfan Hurricane 2023-3,Geometry and mass,1.5 mm T-mount within 2-inch guard,"52.17 mm disk; 2.3 inch pitch; 0.88 g each",,CONFIRMED,manufacturer documentation,https://www.gemfanhobby.com/2023-hurricane-pc-3-blade.html,2026-06-21,PASS,Confirm EX1103 bell screw pattern and guard clearance
