id,day,priority,owner,depends_on,task,deliverable,acceptance_criteria,verification,estimate_hours,status,evidence,blocker
DR-S01,1,P0,Agent,,"Capture baseline and reproduce audit","Baseline and saved sprint records","Identity and actual full-suite result; complete infinity input/output","python -m unittest discover -s Analysis/tests -v",3,done,evidence/sprint-2026-09-05/baseline.md,
DR-S02,1,P0,Owner,,"Supply motor and calibration readiness","Completed evidence intake","Motor roster, calibrated sources, uncertainty reviewer, facility/operator state","Read docs/specs/measured-authority-gate/evidence-intake.md",2,blocked,,"Owner dataset/roster/reviewer unavailable; unblock with those inputs; no measurements authorized"
DR-S03,2,P0,Agent,DR-S01,"Fail-closed numeric and duplicate admission","Gate regression and finite/identity checks","Nonfinite negative duplicate incomplete inputs cannot PASS","python -m unittest Analysis.tests.test_measured_authority_gate -v",5,done,evidence/sprint-2026-09-05/verification.md,
DR-S04,3,P0,Agent,DR-S03,"Enforce source motor and uncertainty contract","Manifest interface and tests","Six sampled motors at every grid; hashes; calibration/uncertainty; synthetic-labeled cannot physical PASS","python -m unittest Analysis.tests.test_measured_authority_gate -v",4,done,docs/specs/measured-authority-gate/evidence-contract.md;evidence/sprint-2026-09-05/verification.md,
DR-S05,3,P1,Agent,DR-S01,"Correct authority/controller interpretation","README result and protocol wording","No isolated torque causal claim or population confidence claim","Review README.md Analysis/current-results.md and design.md",2,done,README.md;Analysis/current-results.md;docs/specs/measured-authority-gate/design.md,
DR-S06,4,P0,Agent,DR-S04;DR-S05,"Exercise documented CLI delivery","CLI regression logs and input contract","Actual CSV+manifest invocation and strict JSON; invalid evidence nonzero","python -m Analysis.measured_authority_gate --help; focused unittest",4,done,evidence/sprint-2026-09-05/cli-evaluation.json,
DR-S07,5,P0,Agent,DR-S06,"Freeze and challenge software candidate","Candidate hashes and developer evaluation","Preserve expected cases outputs scope and final full-suite exit","python -m unittest discover -s Analysis/tests -v",6,done,evidence/sprint-2026-09-05/evaluation.md;evidence/sprint-2026-09-05/verification.md,
DR-S08,6,P0,Agent,DR-S07,"Assemble partial review handoff","docs/REVIEW_READY.md","Reviewer can replay corrected behaviors; incomplete physical work explicit","git diff --check; python -m compileall -q Analysis; full unittest",3,done,docs/REVIEW_READY.md;evidence/sprint-2026-09-05/verification.md,
DR-S09,6,P1,Owner,DR-S08,"Review evidence contract and readiness","Owner feedback or pending record","Real feedback attributed; no invented independent review","Owner reviews docs/REVIEW_READY.md",1,blocked,docs/specs/measured-authority-gate/evidence-intake.md,"Await actual Owner/reviewer feedback; DR-S08 packet now available"
"DR-D03","2026-09-09","P1","Agent","DR-CAD-01;DR-CAD-10","Resolve fixture preparation, not measured authority","cad/bench/fixture-preparation.md","Generate all pending bench register rows into a categorized input sheet, research manufacturer sources and choose a proposed load-cell/fixture route; write geometry and uncertainty acceptance before modeling.","See evidence/task-day3-2026-09-09/checks.json","","done","evidence/task-day3-2026-09-09/README.md","No guessed motor-hole layout, caliper readings, calibrated thrust, vehicle radius or fixture approval."
