measurement,truth_source,sample_rate,resolution,uncertainty,synchronization,calibration_method,status
Component and vehicle mass,Calibrated digital scale,N/A,0.1 g,TBD,Static measurement,Certified check masses,PENDING
Center of gravity,Balance fixture or multi-point scale,N/A,1 mm target,TBD,Static measurement,Known-mass fixture check,PENDING
Inertia,Bifilar or trifilar pendulum,240 fps video or timer,Timing dependent,TBD,Visible sync marker,Known-body validation,PENDING
Thrust,Load-cell thrust stand,1000 Hz target,TBD,TBD,Hardware trigger and shared logger,Known calibration weights,PENDING
Current and voltage,Current shunt and power analyzer,1000 Hz target,TBD,TBD,Shared logger,Reference meter comparison,PENDING
Motor start response,ESC RPM telemetry or optical tachometer,1000 Hz target,1 ms target,TBD,Hardware trigger plus sync LED,Known-speed source or telemetry check,PENDING
Release trajectory,Calibrated high-speed video with fiducials,240 fps minimum,Pixel-scale dependent,TBD,Visible sync LED,Calibration grid and scale bar,PENDING
Attitude and angular rate,Onboard IMU plus external video,IMU rate plus 240 fps minimum,Sensor dependent,TBD,Sync event logged and visible,Firmware configuration and video comparison,PENDING
Guard peak deflection,Calibrated high-speed side video,1000 fps preferred,0.25 mm target,TBD,Visible sync LED,Scale grid in impact plane,PENDING
Impact energy,Measured mass and pre-impact velocity,Video rate dependent,Derived,TBD,Trajectory-aligned,Propagated mass and velocity uncertainty,PENDING
Motor ESC and battery temperature,Thermocouple or IR sensor,10 Hz minimum,1 C target,TBD,Test-log timestamp,Reference temperature check,PENDING
