Category,Item,Qty,Locked Part,Mass Best g,Mass Nominal g,Mass Worst g,Mass Basis,Evidence State,Cost Best USD,Cost Nominal USD,Cost Worst USD,Notes,Selection Status,Flying Hardware,Primary Source
Flight control,Flight controller,1,Holybro Kakute H7 Mini v1.5,5.5,5.5,6.5,official product specification,CONFIRMED,55,59,75,ArduPilot 4.6+ target KakuteH7Mini; weigh on receipt. Exact v1.5 revision required. AVAILABILITY 2026-07-03: in stock at Holybro direct at $58.99 (v1.3 sold out); OQ-007 closed.,LOCKED,yes,https://holybro.com/products/kakute-h7-mini
Flight control,4-in-1 ESC,1,Flywoo GOKU G45M 45A 2-6S AM32 4-in-1 ESC,6.4,6.4,8.0,manufacturer specification; worst adds softmounts and required capacitor,CONFIRMED,40,45,55,45 A continuous and 50 A peak (10 s) per channel; AM32 with bidirectional DShot and current sensor. Verify 2S-LiHV operation on receipt (Flywoo says 2-6S; some retailers list 3-6S) and calibrate BATT_AMP_PERVLT. SUBSTITUTED 2026-07-03 for discontinued HGLRC XJB BS13A (OQ-008).,LOCKED,yes,https://flywoo.net/products/goku-g45m-32bit-128k-2-6s-45a-esc
Propulsion,Brushless motors,4,Happymodel EX1103 11000KV,15.2,15.2,16.5,manufacturer-class listing; performance unverified,BENCH_REQUIRED,30,36,44,121.9 gf at 9.2 A is a vendor test at 7.4 V with a 2023R prop; verify exact delivered motor and bench at 7.0 V.,LOCKED,yes,https://www.happymodel.cn/wp-content/uploads/2022/12/Bassline-SPI-ELRS-version-manual-.pdf
Propulsion,Propeller flight set,1,Gemfan Hurricane 2023-3,3.0,3.5,4.5,official product specification,CONFIRMED,4,6,10,4 x 0.88 g catalog mass; 1.5 mm T-mount. EX1103 compatibility and thrust remain BENCH_REQUIRED.,LOCKED,yes,https://www.gemfanhobby.com/2023-hurricane-pc-3-blade.html
Power,Flight battery,1,GNB GNB5502S100AHV 2S 550mAh 100C XT30,28.0,29.0,31.0,reseller specification; C-rating unverified,BENCH_REQUIRED,11,14,18,7.6 V LiHV; 29 g +/-1 g; claimed 55 A continuous. Sag/thermal performance BENCH_REQUIRED; logistics UNVERIFIED.,LOCKED,yes,https://www.drone-fpv-racer.com/en/2s-550mah-100c-gnb-lihv-battery-xt30-by-gaoneng-12372.html
Control,Control link receiver,1,BetaFPV ELRS Lite Flat Antenna V1.2,0.46,0.46,1.0,official product specification,CONFIRMED,10,12,16,5 V ELRS/CRSF receiver on SERIAL6; verify link quality after installing guards.,LOCKED,yes,https://betafpv.com/collections/radio-controllers/products/elrs-lite-receiver
Control,Buzzer and status LED,1 set,VIFLY Finder Mini fmini01 + WS2812,3.0,3.3,4.5,official buzzer specification plus LED allowance,INFERRED,14,18,24,Finder is 2.7 g and self-powered; remaining 0.6 g is LED/wire allowance.,LOCKED,yes,https://viflydrone.com/collections/all/products/vifly-finder-mini-fpv-racing-drone-buzzer
Vision,Vision processor and camera,1,Arduino Nicla Vision ABX00051,19.8,19.8,21.0,official store weight rounded to 20 g,CONFIRMED,68,80,115,5 V VIN; 3.3 V translated UART; 105 mA average image capture. Latency/FPS BENCH_REQUIRED. PRICE 2026-07-03: official store $68.17.,LOCKED,yes,https://docs.arduino.cc/resources/datasheets/ABX00051-datasheet.pdf
Positioning,Optical flow and lidar,1,MicoAir MTF-01,4.5,4.5,5.0,manufacturer specification,CONFIRMED,25,30,35,PMW3901 flow + 8 m ToF over one MAVLink UART at 4.0-5.5 V and ~100 mA (500 mW at 5 V); 100 Hz output. Set mav_id=200 via MicoAssistant. SUBSTITUTED 2026-07-03 for EOL Matek 3901-L0X (OQ-008).,LOCKED,yes,https://micoair.com/optical_range_sensor_mtf-01/
Vision,Vision logging,0,No external storage in Stage 1,,,,Nicla has no microSD socket,BLOCKER,0,0,0,Removed from the flying BOM: send numeric event data to the FC over MAVLink; reconsider an SPI reader only if image-log testing proves necessary.,REMOVED,no,https://docs.arduino.cc/resources/datasheets/ABX00051-datasheet.pdf
Electrical,Wiring and connectors,1 set,XT30 + 22/26 AWG + JST-SH,3.0,5.5,8.0,engineering allowance,ASSUMED,6,8,12,Weigh completed harness; include strain relief and Nicla header/cable.,LOCKED,yes,
Mechanical,Frame guards mounts and fasteners,1 set,Printed nylon frame + stiff guards + steel M2,35.0,42.5,50.0,engineering allowance,ASSUMED,25,40,60,CAD/FEA/push testing required; guard deflection and stress remain BENCH_REQUIRED.,LOCKED,yes,
Support,Battery charger,1,ToolkitRC M6AC,,,,non-flying selection,INFERRED,45,60,80,Support equipment; verify LiHV 2S balance-charge support.,PLANNED,no,
Test equipment,Test cage materials,1,PVC frame + net + padding,,,,non-flying design,ASSUMED,25,40,60,Build before hover tests.,PLANNED,no,
Test equipment,Release fixture materials,1,Tethered controlled-release rig,,,,non-flying design,ASSUMED,12,20,35,No powered release before safety gate.,PLANNED,no,
Test equipment,Thrust stand,1,DIY 1-2 kg load cell or used RCbenchmark 1520,,,,non-flying design,ASSUMED,30,100,165,Required for 8.4/7.6/7.0 V propulsion characterization.,PLANNED,no,
