id,requirement,operator,fixed_value,units,rationale,verification,status
REQ-MASS-001,Provisional planning mass ceiling,<=,200,g,Temporary ceiling until CAD and BOM freeze,Worst-case mass rollup,PENDING
REQ-MASS-002,Mass freeze abort threshold,<=,225,g,Preserves a buffer below the FAA 250 g threshold,Frozen maximum mass check,ACTIVE
REQ-PROP-001,Static thrust-to-weight ratio,>=,2.0,ratio,Minimum static control authority,Measured thrust divided by frozen maximum mass,PENDING
REQ-PROP-002,Propulsion acceptance test voltage,=,7.0,V_at_ESC_input_under_load,Verify thrust at the worst permitted loaded pack voltage,Calibrated ESC-input voltage during thrust test,ACTIVE
REQ-IFACE-001,Duplicate assigned hardware resources,=,0,count,Prevent UART pad and output conflicts,Automated hardware-interface validation,ACTIVE
REQ-PWR-001,Five-volt peripheral rail capacity margin,>=,25,percent,Prevent FC rail brownout during peak peripheral load,Documented or measured peak load against conservative 1.5 A capacity,PENDING
REQ-GUARD-001,Minimum radial prop clearance,>=,2.0,mm,Prevent prop contact under nominal geometry,Caliper inspection,PENDING
REQ-GUARD-002,Functional clearance-to-deflection safety factor,>=,2.0,ratio,Prevent prop contact during repeated elastic impacts,Guard analysis plus impact test,PENDING
REQ-GUARD-003,Functional elastic stress safety factor,>=,3.0,ratio,Account for printed PETG variability in elastic events,Linear analysis plus coupon data,PENDING
REQ-FLIGHT-001,Manual cage hover duration,>=,30,s,Prove stable baseline flight,Cage hover test,PENDING
REQ-CLASS-001,Stage 1 false-positive 95 percent upper bound,<=,1.0,percent,Bound handling-event false activations,At least 300 negative trials,PENDING
REQ-CLASS-002,Stage 1 release-event sensitivity,>=,90,percent,Detect controlled release events,At least 100 positive trials,PENDING
REQ-CLASS-003,Live-recovery false-positive 95 percent upper bound,<=,0.3,percent,Reduce risk before powered release,At least 1000 negative trials,PENDING
REQ-SAFE-001,Powered release safety approval,=,approved,status,Prevent powered release before safety gates pass,Signed safety review,PENDING
REQ-EST-001,Initial angular rate,<=,80,percent_of_verified_gyro_limit,Maintain estimator margin,External truth comparison plus firmware configuration,PENDING
REQ-VISION-001,Stage 1 sensor-event to MAVLink p95 latency,<=,100,ms,Keep release detection useful for log-only characterization,Synchronized sensor event and MAVLink timestamp,PENDING
REQ-VISION-002,Future recovery sensor-event to MAVLink p95 latency,<=,50,ms,Limit uncommanded rotation before recovery response,Synchronized sensor event and MAVLink timestamp,DEFERRED
